src,trg
A man standing at a urinal with a coffee cup.,"Ein Mann, der mit einer Tasse Kaffee an einem Urinal steht."
Five people walking with a multicolored sky in the background.,FÃ¼nf gehende Personen mit einem mehrfarbigen Himmel im Hintergrund.
A old man having a beer alone.,"Ein alter Mann, der allein ein Bier trinkt."
A trained police dog sits next to his handler in front of the police van.,Ein geschulter Polizeihund sitzt neben dem HundefÃ¼hrer vor dem Polizeitransporter.
A person riding a bike on a snowy road.,Eine Person fÃ¤hrt auf einer verschneiten StraÃe Fahrrad.
"Five men, uniformly dressed in white shirts, tie and black slacks converse at the back of an open van.","FÃ¼nf MÃ¤nner, die alle weiÃe Hemden, Krawatten und schwarze Freizeithosen tragen, unterhalten sich hinter einem Lieferwagen."
A man with a backwards hat works on machinery.,Ein Mann mit einem nach hinten gerichteten Hut arbeitet an Maschinen.
A black woman and a white man working in a factory setting packing jars with candles into boxes.,Eine schwarze Frau und ein weiÃer Mann arbeiten in einer Fabrikumgebung und packen GlÃ¤ser mit Kerzen in Kartons.
Asian man sweeping the walkway.,Ein asiatischer Mann kehrt den Gehweg.
"A man leans into a car to talk to the driver, as a man on a bicycle looks on.","Ein Mann lehnt sich in ein Auto, um mit dem Fahrer zu reden, wÃ¤hrend ein Mann auf einem Fahrrad zusieht."
Two young toddlers outside on the grass.,Zwei Kleinkinder im Freien auf dem Gras.
People are watching a person in a weird vehicle in a plaza.,Leute sehen einer Person in einem seltsamen Fahrzeug auf einem Platz zu.
A man walks by a silver vehicle.,Ein Mann geht an einem silbernen Fahrzeug vorbei.
A beautiful bride walking on a sidewalk with her new husband.,Eine schÃ¶ne Braut geht auf einem Gehweg mit ihrem neuen Ehemann.
A little boy playing GameCube at a McDonald's.,Ein kleiner Junge spielt bei McDonald's GameCube.
A white dog shakes on the edge of a beach with an orange ball.,Ein weiÃer Hund schÃ¼ttelt sich am Rande eines Strands mit einem orangefarbenen Ball.
A group of people having a barbecue at a park.,"Eine Gruppe von Personen, die im Park grillen."
A man in sunglasses puts his arm around a woman in a black and white blouse.,Ein Mann mit Sonnenbrille legt seinen Arm um eine Frau in einer schwarz-weiÃen Bluse.
A man with a balloon hat and people eating outdoors at picnic tables.,"Ein Mann mit einem Luftballonhut und Leute, die im Freien an Picknicktischen essen."
A boy jump kicking over three kids kicking wood during a tae kwon do competition.,"Ein Junge, der wÃ¤hrend eines Taekwondo-Wettbewerbs einen Sprungtritt Ã¼ber drei Kinder macht und dabei auf Holz tritt."
A boy in a red jacket pouring water on a man in a white shirt,"Ein Junge in einer roten Jacke, der Wasser auf einen Mann in einem weiÃen Hemd gieÃt."
A man with a red jacket is shielding himself from the sun trying to read a piece of paper.,"Ein Mann mit einer roten Jacke, der sich vor der Sonne schÃ¼tzt und versucht, ein StÃ¼ck Papier zu lesen."
Men walking down a street with children.,"MÃ¤nner, die eine StraÃe mit Kindern entlang laufen."
A little boy is standing on the street while a man in overalls is working on a stone wall.,"Ein kleiner Junge, der auf der StraÃe steht, wÃ¤hrend ein Mann in einem Overall an einer Steinwand arbeitet."
A black dog leaps over a log.,Ein schwarzer Hund springt Ã¼ber einen Baumstamm.
"A man in a suit is running past two other gentleman, also dressed in a suit.","Ein Mann in einem Anzug rennt an zwei anderen Herren vorbei, die auch einen Anzug tragen."
Man in a red shirt riding his bicycle around water.,"Ein Mann in einem roten Hemd, der mit dem Fahrrad um Wasser herum fÃ¤hrt."
A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup.,"Ein Mann, der barfuÃ ist, olivgrÃ¼ne kurze Hosen trÃ¤gt, auf einem kleinen Propangasgrill Hotdogs grillt und gleichzeitig eine blaue Kunststofftasse hÃ¤lt."
A dog is running in the snow,Ein Hund rennt im Schnee.
A crowd is standing and waiting for the green light.,"Eine Menschenmenge steht und wartet, bis die Ampel grÃ¼n wird."
Man on skis looking at artwork for sale in the snow,"Mann auf Skiern, das zu verkaufende Kunstwerke im Schnee betrachtet."
Seven climbers are ascending a rock face whilst another man stands holding the rope.,"Sieben Kletterer klettern eine Felswand hoch, wÃ¤hrend ein anderer Mann dasteht und das Seil hÃ¤lt."
The young gymnast's supple body soars above the balance beam.,Der gelenkige KÃ¶rper des jungen Turners schwebt Ã¼ber dem Schwebebalken.
A young boy is pushing a toy ATV around a rubber pool,Ein Junge schiebt ein Spielzeug-GelÃ¤ndefahrzeug um einen Gummi-Pool.
Woman in red windbreaker looking though a rooftop binoculars at the city below.,"Eine Frau in einer roten Windjacke, die Ã¼ber ein auf einem Dach installiertes Fernrohr auf die darunterliegende Stadt blickt."
A man is standing in front of a small red object that looks like a plane.,"Ein Mann steht vor einem kleinen roten Objekt, das wie ein Flugzeug aussieht."
A dog is playing with a hose.,Ein Hund spielt mit einem Schlauch.
A man and a little girl happily posing in front of their cart in a supermarket.,Ein Mann und ein kleines MÃ¤dchen posieren glÃ¼cklich vor ihrem Einkaufswagen im Supermarkt.
A white dog is about to catch a yellow dog toy.,"Ein weiÃer Hund ist kurz davor, ein gelbes Hundespielzeug zu fangen."
Guy in green shirt with hand covering part of his face in restaurant booth.,"Ein Kerl in einem grÃ¼nen Hemd, dessen Hand einen Teil seines Gesichts bedeckt, in einer Nische im Restaurant."
A black and white dog jumps up towards a yellow toy.,Ein schwarz-weiÃer Hund spring zu einem gelben Spielzeug hoch.
Two hikers resting by a patch of snow.,Zwei Wanderer machen bei einem StÃ¼ckchen Schnee Pause.
A man showing off his new wooden creation.,Ein Mann fÃ¼hrt seine neue hÃ¶lzerne Kreation vor.
A elderly father and his grown son are preparing for a camping trip in the wild.,Ein Ã¤lterer Vater und sein erwachsener Sohn bereiten sich auf einen Camping-Ausflug in der Wildnis vor.
A bearded traveler in a red shirt sitting in a car and reading a map.,"Ein Reisender mit Bart in einem roten Hemd, der in einem Auto sitzt und eine Karte liest."
A young boy waves his hand at the duck in the water surrounded by a green park.,"Ein Junge winkt einer Ente im Wasser zu, umgeben von einer GrÃ¼nanlage."
A couple sit on the grass with a baby and stroller.,Ein Paar sitzt mit Baby und Sportwagen im Gras.
Some men standing in front of a building next to a parked car.,Ein paar MÃ¤nner stehen vor einem GebÃ¤ude neben einem parkenden Auto.
The black dog runs through the water.,Der schwarze Hund rennt durch das Wasser.
A man is drilling through the frozen ice of a pond.,Ein Mann bohrt durch das gefrorene Eis eines Teichs.
Two large tan dogs play along a sandy beach.,Zwei groÃe lohfarbene Hunde spielen an einem sandigen Strand.
A person in blue and red ice climbing with two picks.,"Eine Person in blau und rot, die mit zwei Pickeln eisklettert."
Three people walking on a path in a meadow.,"Drei Personen, die auf einem Pfad in einer Wiese gehen."
"A man in black attire shovels snow into the street, disregarding all public safety.",Ein Mann in Schwarz schaufelt Schnee auf die StraÃe und ignoriert dabei die Ã¶ffentliche Sicherheit.
A couple stands behind their wedding cake.,Ein Paar steht hinter seiner Hochzeitstorte.
A wet black dog is carrying a green toy through the grass.,Ein nasser schwarzer Hund trÃ¤gt ein grÃ¼nes Spielzeug durch das Gras.
Villagers selling their crops at the market.,Dorfbewohner verkaufen ihre Ernte auf dem Markt.
In a crowded concert a man in white is approaching the main singer who is wearing a yellow shirt.,"In einem vollen Konzert nÃ¤hert sich ein Mann dem HauptsÃ¤nger, der ein gelbes Hemd trÃ¤gt."
A boy jumps on his skateboard while a crowd watches,"Ein Junge springt auf seinem Skateboard, und eine Menschenmenge sieht zu."
A man and a baby are in a yellow kayak on water.,Ein Mann und ein Baby befinden sich in einem gelben Kajak auf dem Wasser.
"Two people are sitting on a bench, and one women is standing by them.","Zwei Personen sitzen auf einer Bank, und eine Frau steht neben ihnen."
A construction site on a street with three men working.,Eine Baustelle auf einer StraÃe mit drei arbeitenden MÃ¤nnern.
"Two men sitting on a bench talking, with a billboard advertisement for glasses in the background.","Zwei MÃ¤nner sitzen auf einer Bank und reden, im Hintergrund eine ReklameflÃ¤che mit Werbung fÃ¼r Brillen."
A group of youths march down the street waving flags showing the color spectrum.,"Eine Gruppe Jugendlicher geht die StraÃe entlang und schwenkt Fahnen, die das Farbspektrum zeigen."
Three old men are watching another man prepare fish.,"Drei alte MÃ¤nner sehen einem anderen Mann zu, wie er Fisch zubereitet."
"A woman in a white tank top with a green flowing skirt, on stage singing a song.","Eine Frau einem einem weiÃen Pullunder mit einem grÃ¼nen, wallenden Rock ein Lied singend auf der BÃ¼hne."
Two men and two women sitting on steps outdoors.,"Zwei MÃ¤nner und zwei Frauen, die auf Treppenstufen im Freien sitzen."
A brown and black lab are outside and the black lab is catching a toy in its mouth.,"Ein brauner und ein schwarzer Labrador im Freien, wobei der schwarze Labrador ein Spielzeug in seinem Maul hat."
"Hockey goalie boy in red jacket crouches by goal, with stick.",Junger mÃ¤nnlicher Hockey-Goalie in roter Jacke duckt sich mit Stock beim Tor.
The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading.,Der Mann mit dem Rucksack sitzt im Hof eines GebÃ¤udes vor einer Skulptur und liest.
Toddler boy in a red hat holding on to some railings.,"MÃ¤nnliches Kleinkind in einem roten Hut, das sich an einem GelÃ¤nder festhÃ¤lt."
Three dogs stand in a grassy field while a person kneels nearby.,Drei Hunde stehen auf einer Wiese und eine Person kniet in der NÃ¤he.
A man is standing in front of a skyscraper,Ein Mann steht vor einem Hochhaus.
A woman is walking her baby with a stroller at the local park.,Eine Frau fÃ¤hrt ihr Baby in einem Sportwagen im Ã¶rtlichen Park spazieren.
A man in a red shirt is sitting by fruit for sale.,"Ein Mann in einem roten Hemd sitzt neben Obst, das zu verkaufen ist."
A young blond-haired boy and a dark-haired girl are eating at a kid's table.,Ein blondhaariger Junge und ein dunkelhaariges MÃ¤dchen essen an einem Kindertisch.
The boy eats his food outside at the table.,Der Junge isst sein Essen drauÃen am Tisch.
A man wearing black is playing an electric guitar at a concert.,Ein Mann in Schwarz spielt auf einem Konzert eine Elektrogitarre.
A girl playing softball hits the ball almost directly downwards,"Ein MÃ¤dchen, das Softball spielt, schlÃ¤gt den Ball fast senkrecht nach unten."
A man in a black shirt plays a black-colored guitar.,Ein Mann in einem schwarzen Hemd spielt eine schwarze Gitarre.
A man wearing a black shirt smoothing out concrete in an urban area.,"Ein Mann, der ein schwarzes Hemd trÃ¤gt und in einer stÃ¤dtischen Umgebung Beton glÃ¤ttet."
A woman in a white shirt is sitting at a table in a nice restaurant.,Eine Frau in einem weiÃen Rock sitzt an einem Tisch in einem hÃ¼bschen Restaurant.
A woman is laying on a red blanket in a park.,Eine Frau liegt auf einer roten Decke in einem Park.
A solitary man stand on a bridge in the evening.,Ein einzelner Mann steht abends auf einer BrÃ¼cke.
A child walks in a grassy field.,Ein Kind geht durch eine Wiese.
A man and his dog are grilling green beans on a grill.,Ein Mann und sein Hund grillen grÃ¼ne Bohnen auf einem Grill.
Three people rest on a ledge above the moutains.,Drei Personen machen auf einem Felsvorsprung Ã¼ber den Bergen Rast.
Many people cross a very tall footbridge with a tree-covered hill in the background.,Viele Menschen Ã¼berqueren eine sehr hohe FuÃbrÃ¼cke mit einem baumbewachsenen HÃ¼gel im Hintergrund.
A young boy overlooking a crowd of inflatable boats.,Ein Junge blickt auf eine Ansammlung von Schlauchbooten.
Two little girls and an old man have a conversation.,Zwei kleine MÃ¤dchen und ein alter Mann unterhalten sich.
"Asian man and blond woman holding hands outdoors, man in background watches.","Ein asiatischer Mann und eine blonde Frau, die HÃ¤ndchen halten, im Freien, ein Mann im Hintergrund sieht zu."
An older man with gray hair is sitting in a chair playing a large instrument made of bamboo.,"Ein Ã¤lterer Mann mit grauem Haar, der in einem Stuhl sitzt und ein groÃes Instrument aus Bambus spielt."
A man in a white shirt rides a bicycle on a busy street.,Ein Mann in einem weiÃen Hemd fÃ¤hrt auf einer belebten StraÃe Fahrrad.
A man is standing on a ladder painting bricks,Ein Mann steht auf einer Leiter und malt Ziegel.
A 30 somethings man playing with his phone on a subway train.,Ein Mann in den DreiÃigern spielt in einer U-Bahn mit seinem Telefon.
Two women are walking in a crosswalk with a bus in the background.,Zwei Frauen gehen Ã¼ber einen FuÃgÃ¤ngerÃ¼bergang mit einem Bus im Hintergrund.
A group of people are eating noddles.,Eine Gruppe von Leuten isst Nudeln.
A woman is carrying a bowl full of fruit on her head near the ocean side.,Eine Frau in der NÃ¤he des Meeres trÃ¤gt eine Schale voller Obst auf ihrer Hand.
A guy wearing blue in a hole.,"Ein Typ, der blau trÃ¤gt, in einem Loch."
Four children are smiling as they pose together with a bicycle that is much too big for them.,"Vier Kinder lÃ¤cheln, wÃ¤hrend sie zusammen mit einem Fahrrad posieren, das viel zu groÃ fÃ¼r sie ist."
"Two individuals, a male and a female, standing in a forested area around a tub.","Zwei Personen, eine mÃ¤nnlich und eine weiblich, stehen in einem Waldgebiet um eine Wanne herum."
A sleeping baby is in someone's arms and wearing a pink striped outfit,Ein schlafenden Baby liegt jemandem im Arm und trÃ¤gt ein Outfit mit rosafarbenen Streifen.
A member of an African tribe is watching the camera intently in tribal dress.,Ein Mitglied eines afrikanischen Stamms in Stammeskleidung blickt konzentriert in die Kamera.
A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat.,Ein Samurai-Krieger ganz in Schwarz auf einer Ãbungsmatte im Freien nimmt sein Schwert aus der Scheide.
Several young people sitting on a rail above a crowded beach.,Mehrere junge Leute sitzen auf einem GelÃ¤nder Ã¼ber einem Ã¼berfÃ¼llten Strand.
"Five hikers, one facing towards the camera and the others facing away from it, are walking through a rocky riverbed.","FÃ¼nf Wanderer, von denen einer in Richtung Kamera blickt und die anderen von der Kamera weg, gehen durch ein steiniges Flussbett."
"A security guard stands by a metal, lighted sculpture.",Ein Wachmann steht neben einer beleuchteten Metallskulptur.
"Two women, one in green and the other in purple, washing a sidewalk.","Zwei Frauen, eine in GrÃ¼n und die andere in Violett, die einen Gehsteig abwaschen."
Two girls crouch in front of some bushes and talk on their phones.,Zwei MÃ¤dchen ducken sich vor ein paar BÃ¼schen und sprechen in ihre Telefone.
A young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house,"Ein junges MÃ¤dchen, das mehrfarbig gekleidet ist, einen orangefarbenen Ball in der rechten Hand trÃ¤gt und hinter einem Haus durch leuchtend grÃ¼nes Gras geht."
A young child playing with a toy while laying on the floor.,Ein kleines Kind liegt auf dem Boden und spielt mit einem Spielzeug.
A little boy skateboarder is doing a trick on his board while another young skateboarder watches.,"Ein kleiner Junge fÃ¼hrt ein KunststÃ¼ck auf seinem Skateboard aus, wÃ¤hrend ein anderer junger Skateboarder zusieht."
Two kids are laughing in the grass.,Zwei Kinder im Gras lachen.
"Young woman holding a bottle, reaching out from a bench to shake a man's hand.","Eine junge Frau, die eine Flasche hÃ¤lt, streckt von einer Bank aus ihre Hand aus, um einem Mann die Hand zu schÃ¼tteln."
A driver communicating on his walkie talkie.,Ein Fahrer kommuniziert mit seinem Walkie-Talkie.
"A girl paddling down a large river, as seen from behind her.","Ein MÃ¤dchen, das einen groÃen Fluss hinunterpaddelt, von hinten gesehen."
A girl with pigtails plays in the water.,Ein MÃ¤dchen mit ZÃ¶pfen spielt im Wasser.
A couple wearing white sweaters sit at a restaurant table.,Ein Paar mit weiÃen Pullovern sitzt an einem Restauranttisch.
A meal is on a table in a restaurant.,In einem Restaurant steht eine Mahlzeit auf dem Tisch.
Two construction workers take a seat on a steel beam.,Zwei Bauarbeiter sitzen auf einem Stahlbalken.
A child happily mixing batter in a bowl.,"Ein Kind, das strahlend einen Teig in einer SchÃ¼ssel rÃ¼hrt."
Two children play with a balloon in mud on a sunny day.,Zwei Kinder spielen an einem sonnigen Tag mit einem Luftballon im Matsch.
A little girl looking at a brochure on train rides,Ein kleines MÃ¤dchen blickt auf eine BroschÃ¼re Ã¼ber Zugfahrten.
Two women are sitting and talking and laughing together.,"Zwei Frauen sitzen, reden und lachen zusammen."
People jogging together on a park sidewalk.,"Leute, die zusammen auf einem FuÃweg im Park joggen."
A little kid is jumping off a high dive at the pool.,Ein kleines Kind springt von einem Sprungturm am  hohen Brett am Schwimmbecken.
A light-colored dog runs on the beach.,Ein hell gefÃ¤rbter Hund rennt am Strand.
A man lounges in a wooden basin of water while eating a fruit.,Ein Mann rÃ¤kelt sich in einem hÃ¶lzernen WasserbehÃ¤lter und isst Obst.
A man is sleeping on a bench near a bus stop.,Ein Mann schlÃ¤ft auf einer Bank in der NÃ¤he einer Bushaltestelle.
A little girl in a red shirt and jeans climbs a small tree while another little girl looks on.,"Ein kleines MÃ¤dchen mit einem roten Oberteil und Jeans klettert auf einen kleinen Baum, wÃ¤hrend ein anderes MÃ¤dchen zusieht."
A man asleep in a car that's driving.,Ein schlafender Mann in einem fahrenden Auto.
A woman in a red shirt is under a blanket and sleeping in a vehicle.,"Eine Frau in einem roten Oberteil, befindet sich unter einer Decke in einem Fahrzeug und schlÃ¤ft."
A man in a home kitchen is flipping a pancake extremely high.,Ein Mann in einer WohnungskÃ¼che wirft einen Pfannkuchen sehr hoch.
Several firefighters are responding to an alarm.,Mehrere Feuerwehrleute reagieren auf einen Alarm.
Several firefighters stand outside of a building near their firetrucks.,Mehrere Feuerwehrleute stehen vor einem GebÃ¤ude in der NÃ¤he ihrer LÃ¶schfahrzeuge.
"A beach with blue and red boats, with people on shore",Ein Strand mit blauen und roten Booten und Leuten am Ufer.
Men wearing hard hats and safety vests are working.,MÃ¤nner mit Schutzhelmen und Schutzwesten arbeiten.
A magazine vendor sits behind a very colorful collage of magazines.,Ein ZeitungsverkÃ¤ufer sitzt hinter einer sehr farbenfrohen Zusammenstellung von Zeitschriften.
A man in a hard hat is wearing a blue shirt and blue jean overalls.,Ein Mann mit Schutzhelm trÃ¤gt ein blaues Hemd und einen Jeanslatzhose.
"At the bakery, the fat old baker sleeps while his apprentice rubs the flour out of his eyes, seated beside him.","In der BÃ¤ckerei schlÃ¤ft der dicke alte BÃ¤cker, wÃ¤hrend der Lehrling neben ihm sitzt und sich das Mehl aus den Augen reibt."
A group of shirtless men are sitting in the shade on a tropical beach.,Eine Gruppe MÃ¤nner mit nacktem OberkÃ¶rper sitzt an einem tropischen Strand im Schatten.
A boy in his blue swim shorts at the beach.,Ein junge in blauen Badehosen am Strand.
A skier is overlooking a snow-covered mountain.,Ein Skifahrer blickt auf einen schneebedeckten Berg.
A boy wearing a red shirt is riding his bike right next to a mound of dirt.,"Ein Junge, der eine rotes Hemd trÃ¤gt, fÃ¤hrt neben einem ErdhÃ¼gel Fahrrad."
Bikers in a bike race take a sharp left turn.,Zweiradfahrer in einem Rennen biegen scharf nach links ab.
Three boys playing and biking with a pile of sand in the middle,Drei Jungen spielen und fahren Fahrrad mit einem SandhÃ¼gel in der Mitte.
Elderly man with a cane bends over near a man and woman.,Ein Ã¤lterer Mann mit einem Stock beugt sich in der NÃ¤he eines Mannes und einer Frau vor.
A doctor and nurses in blue scrubs are performing an operation.,Ein Arzt und PflegekrÃ¤fte in blauer Arbeitskleidung fÃ¼hren eine Operation durch.
A black and white dog jumps after a yellow toy.,Ein schwarz-weiÃer Hund spring nach einem gelben Spielzeug.
A woolly dog chases a Doberman on a beach.,Ein flauschiger Hund rennt am Strand einem Dobermann hinterher.
A man stand there after rolling a bowling ball down a lane.,"Ein Mann steht da, nachdem er eine Bowlingkugel auf eine Bahn geworfen hat."
"An old weathered, bearded man wearing all black, riding a beautiful white donkey on white rocks.","Ein alter wettergegerbter Mann mit Bart, der ganz in Schwarz gekleidet ist, reitet auf einem schÃ¶nen weiÃen Esel auf weiÃen Felsen."
A man and woman napping on a blue couch.,"Ein Mann und eine Frau, die auf einer blauen Couch ein SchlÃ¤fchen machen."
A man wearing a yellow shirt is throwing a javelin on a track.,"Ein Mann, der ein gelbes Hemd trÃ¤gt, wirft einen Speer auf eine Bahn."
A crowd watching air balloons at night.,Eine Menschenmenge betrachtet nachts Ballons.
A woman is reading a magazine over another woman's shoulder.,"Eine Frau, die einer andere Frau Ã¼ber die Schulter sieht, um eine Zeitschrift zu lesen."
Two men squat to light candles at night.,"Zwei MÃ¤nner gehen in die Hocke, um in der Nacht Kerzen anzuzÃ¼nden."
A young man is walking through a busy street beside a mall.,Ein junger Mann geht durch eine belebte StraÃe neben einem Einkaufszentrum.
The little boy rides his bicycle in a race.,Der kleine Junge fÃ¤hrt Fahrrad in einem Rennen.
A group of people sitting at a table in a darkened room.,Eine Gruppe sitzt in einem verdunkelten Raum an einem Tisch.
A man with two dogs on a beach,Ein Mann mit zwei Hunden an einem Strand.
A boy covered in suds has his face wiped clean.,Ein von Seifenschaum bedeckter Junge bekommt das Gesicht abgewischt.
Dozens of people are partying on a boat.,Dutzende von Leuten feiern auf einem Boot.
A young woman on a boat in a light colored bikini kicks a man wearing a straw cowboy hat.,"Eine junge Frau auf einem Boot in einem hellen Bikini tritt einen Mann, der einen Cowboy-Hut aus Stroh trÃ¤gt."
A boy sliding down a slide into a pool with colorful tubes.,Ein Junge rutscht eine Rutsche mit farbigen Rohren in ein Schwimmbecken herunter.
A man in a wetsuit is throwing a toddler up in the air and is ready to catch him.,"Ein Mann in einem Taucheranzug wirft ein Krabbelkind in die Luft und ist bereit, es aufzufangen."
"A group of people riding in the back of a truck, down the road, in a country area.","Eine Gruppe fÃ¤hrt hinten auf einem Lkw mit, eine lÃ¤ndliche StraÃe entlang."
Two chefs prepare burgers in a restaurant kitchen.,Zwei KÃ¶che bereiten in einer RestaurantkÃ¼che Hamburger zu.
Two young boys making silly faces.,Zwei Jungen schneiden Grimassen.
A person with brown pants is sitting around a fenced area that has sparks flying.,"Eine Person mit braunen Hosen sitzt neben einem eingezÃ¤unten Bereich, in dem Funken fliegen."
Woman on a hill by a white cross overlooking a beach.,"Frau auf einem HÃ¼gel neben einem weiÃen Kreuz, die auf einen Strand blickt."
Four girls are sitting in the grass while several men stand near them.,"Vier MÃ¤dchen sitzen im Gras, und mehrere MÃ¤nner stehen in ihrer NÃ¤he."
Men at work shoveling snow from a rail track.,Arbeitende MÃ¤nner schaufeln Schnee von einem Gleis.
"A man, and girl and two horses are near a contained fire.","Ein Mann, ein MÃ¤dchen und zwei Pferde befinden sich in der NÃ¤he eines eingedÃ¤mmten Feuers."
Workers wearing reflective vests working near a train car.,"Arbeiter mit Warnwesten, die in der NÃ¤he eines Zugwaggons arbeiten."
"An older guy looking at a classic, rustic, volkswagen beetle.",Ein Ã¤lterer Typ blickt auf einen klassischen schlichten Volkswagen KÃ¤fer.
A woman assembles a white metal frame on the sidewalk.,Eine Frau baut auf dem Gehweg einen weiÃen Metallrahmen zusammen.
There are three dogs starring at a ball in the middle of them.,Drei Hunde starren auf einen Ball in ihrer Mitte.
A shirtless man and a woman sitting on a dock.,Ein Mann mit nacktem OberkÃ¶rper und eine Frau sitzen auf einem Dock.
Men in safety vests are working on a track.,MÃ¤nner in Schutzwesten arbeiten auf einem Gleis.
A man fixing the road with his equipment.,"Ein Mann, der die StraÃe mit seiner Maschine ausbessert."
A woman with reddish hair applies mascara to her eyelashes.,Eine Frau mit rÃ¶tlichem Haar trÃ¤gt Mascara auf ihre Wimpern auf.
A white dog has its head on the ground.,Ein weiÃer Hund hat seinen Kopf auf dem Boden.
A woman in blue shorts and a white shirt is indoor rock climbing.,Eine Frau in blauen Shorts und einem weiÃen Hemd klettert in einer Halle.
Many scooters are parked together on the sidewalk.,Viele Motorroller sind zusammen auf dem Gehweg geparkt.
The regional park police helicopter is preparing to land.,Der Polizeihubschrauber des Ã¶rtlichen Parks bereitet sich auf die Landung vor.
A man in a reflective jacket positions himself on scaffolding.,Ein Mann in einer Warnweste bringt sich auf einem GerÃ¼st in Position.
A group of fourteen is assembled in a hall with dining tables and a stage.,Eine aus vierzehn Personen bestehende Gruppe ist in einer Halle mit Esstischen und einer BÃ¼hne versammelt.
A teenage boy is jumping on an inflatable slide.,Ein mÃ¤nnlicher Teenager springt auf einer aufblasbaren Rutsche.
A family playing on a tractor on a beautiful day,Eine Familie spielt an einem schÃ¶nen Tag auf einem Traktor.
An elderly woman pan frying food in a kitchen.,Eine Ã¤ltere Frau brÃ¤t in einer KÃ¼che etwas in der Pfanne an.
